cpg_id,chrA,startA,RefGene,RefGene_Group,average,median,stdev
cg13148151,3,45637978,LIMD1,Body,0.098,0.089,0.006
cg13157483,11,125145672,PKNOX2,5'UTR,0.103,0.099,0.002
cg13162127,8,96000155,,,0.104,0.100,0.005
cg13177275,1,201683549,NAV1,Body,0.087,0.065,0.005
cg13184736,1,68299409,GNG12,TSS1500,0.098,0.099,0.005
cg13185188,14,100680334,,,0.089,0.084,0.004
cg13203507,20,61447442,COL9A3,TSS1500,0.093,0.065,0.008
cg13204325,12,131167586,,,0.101,0.087,0.010
cg13204568,1,12679255,DHRS3,TSS1500,0.120,0.120,0.004
cg13219007,11,73691269,UCP2,5'UTR,0.100,0.067,0.010
cg13225881,11,108777990,DDX10,Body,0.096,0.077,0.009
cg13244211,10,120820080,SNORA19;EIF3A,TSS1500;Body,0.090,0.089,0.008
cg13263591,8,102142199,,,0.101,0.101,0.002
cg13266018,7,5637739,FSCN1,Body,0.128,0.115,0.006
cg13276428,14,105048531,C14orf180,5'UTR,0.088,0.087,0.003
cg13277939,14,39735211,CTAGE5;CTAGE5;CTAGE5;CTAGE5,TSS1500;TSS1500;TSS1500;Body,0.107,0.099,0.005
cg13278004,2,231191876,SP140L,TSS200,0.090,0.078,0.005
cg13291296,4,22390126,GPR125,Body,0.140,0.013,0.073
cg13301590,6,96839196,,,0.094,0.086,0.006
cg13304609,1,79085162,IFI44L,TSS1500,0.105,0.080,0.005
cg13306478,13,31317745,ALOX5AP,Body,0.111,0.099,0.003
cg13308137,11,47528955,CUGBP1,5'UTR,0.128,0.105,0.007
cg13321688,3,125120406,,,0.110,0.096,0.006
cg13333800,5,125694418,GRAMD3,TSS1500,0.095,0.085,0.005
cg13343687,3,49843809,UBA7,Body,0.087,0.079,0.003
cg13359161,4,124552897,,,0.099,0.102,0.004
cg13364749,5,89560863,,,0.113,0.120,0.005
cg13374432,15,86192745,AKAP13;AKAP13,Body;Body,0.116,0.104,0.006
cg13380204,17,40441155,STAT5A,5'UTR,0.088,0.070,0.006
cg13391675,2,80009927,CTNNA2;CTNNA2,Body;Body,0.099,0.114,0.005
cg13392885,2,161593271,,,0.092,0.089,0.003
cg13401658,2,177311027,,,0.088,0.083,0.004
cg13409439,9,135040296,NTNG2,5'UTR,0.087,0.087,0.004
cg13418576,9,126105738,,,0.088,0.079,0.006
cg13420744,1,12679306,DHRS3,TSS1500,0.089,0.090,0.003
cg13421412,3,52529393,STAB1;STAB1,5'UTR;1stExon,0.110,0.109,0.006
cg13428066,11,2677768,KCNQ1;KCNQ1OT1;KCNQ1,Body;Body;Body,0.087,0.074,0.003
cg13430173,9,112914149,AKAP2;AKAP2;PALM2-AKAP2;PALM2-AKAP2,Body;Body;Body;Body,0.091,0.080,0.003
cg13436334,12,96789227,CDK17;CDK17,5'UTR;5'UTR,0.088,0.045,0.009
cg13439241,11,63273507,LGALS12;LGALS12;LGALS12,TSS200;TSS200;TSS200,0.086,0.080,0.004
cg13439946,1,991708,,,0.087,0.063,0.009
cg13447566,9,133801544,FIBCD1;FIBCD1,Body;Body,0.110,0.105,0.006
cg13450944,3,66533056,LRIG1,Body,0.097,0.088,0.006
cg13456960,19,5139479,KDM4B,Body,0.119,0.105,0.007
cg13460556,15,89709638,ABHD2;ABHD2,Body;Body,0.149,0.145,0.006
cg13460850,3,184302398,,,0.134,0.103,0.005
cg13471990,10,97515222,ENTPD1;ENTPD1;ENTPD1;ENTPD1;ENTPD1;ENTPD1;ENTPD1,TSS1500;TSS200;TSS1500;TSS1500;TSS1500;TSS200;Body,0.090,0.080,0.005
cg13489576,3,196985412,DLG1;DLG1,Body;Body,0.106,0.110,0.003
cg13503179,9,132695505,FNBP1,Body,0.086,0.088,0.010
cg13504704,15,90669481,,,0.087,0.073,0.009
cg13505631,9,127018840,NEK6;NEK6;NEK6,TSS1500;TSS1500;TSS1500,0.152,0.150,0.005
cg13518537,8,28618150,,,0.096,0.093,0.005
cg13520531,19,2268580,OAZ1,TSS1500,0.110,0.092,0.006
cg13528479,6,36462140,STK38,3'UTR,0.103,0.096,0.004
cg13539397,14,68785498,RAD51L1;RAD51L1;RAD51L1,Body;Body;Body,0.093,0.081,0.007
cg13560612,6,108435575,,,0.108,0.094,0.007
cg13567282,6,149653214,MAP3K7IP2,5'UTR,0.107,0.096,0.003
cg13569051,9,124051703,GSN;GSN;GSN;GSN;GSN;GSN;GSN,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.094,0.095,0.003
cg13571501,9,107625961,ABCA1,Body,0.104,0.112,0.004
cg13572771,14,68871428,RAD51L1;RAD51L1;RAD51L1,Body;Body;Body,0.108,0.103,0.004
cg13574099,1,223897463,CAPN2,Body,0.095,0.076,0.005
cg13577946,6,111975261,,,0.100,0.090,0.004
cg13578134,15,75081572,CSK;CSK,5'UTR;5'UTR,0.100,0.077,0.009
cg13578272,9,33819418,UBE2R2,Body,0.105,0.065,0.011
cg13581015,12,1769824,,,0.111,0.099,0.007
cg13581527,7,1708566,,,0.091,0.090,0.006
cg13591204,9,38064182,SHB,Body,0.137,0.129,0.005
cg13591783,9,75768868,ANXA1,5'UTR,0.086,0.083,0.003
cg13597317,9,111033925,,,0.090,0.087,0.002
cg13600002,11,11102839,,,0.104,0.103,0.005
cg13623268,9,78912437,,,0.093,0.084,0.006
cg13638427,6,29617320,,,0.093,0.077,0.005
cg13654573,14,53576363,DDHD1;DDHD1;DDHD1,Body;Body;Body,0.107,0.111,0.005
cg13661832,9,98495510,,,0.090,0.086,0.003
cg13664910,9,98075146,FANCC,5'UTR,0.088,0.071,0.003
cg13665981,10,73849167,SPOCK2;SPOCK2,TSS1500;TSS1500,0.087,0.072,0.004
cg13674249,9,86321038,UBQLN1;UBQLN1,Body;Body,0.099,0.082,0.005
cg13679842,12,29090040,,,0.086,0.085,0.003
cg13689563,19,12277357,ZNF136,Body,0.106,0.103,0.006
cg13694876,3,184282720,EPHB3,Body,0.102,0.085,0.005
cg13696957,14,33635189,NPAS3;NPAS3;NPAS3;NPAS3,Body;Body;Body;Body,0.109,0.112,0.003
cg13702982,9,89762972,C9orf170,TSS1500,0.095,0.095,0.003
cg13705830,9,89518557,,,0.086,0.086,0.004
cg13713172,9,98824421,,,0.090,0.068,0.005
cg13716760,9,15371248,,,0.087,0.080,0.003
cg13717541,14,95727643,CLMN,Body,0.115,0.099,0.008
cg13720745,9,135077103,NTNG2,Body,0.099,0.077,0.010
cg13724182,2,9761025,YWHAQ,Body,0.086,0.079,0.004
cg13739942,3,46977532,CCDC12,Body,0.090,0.090,0.003
cg13747275,19,1992952,BTBD2,Body,0.093,0.072,0.009
cg13758331,2,111893676,BCL2L11;BCL2L11,Body;Body,0.090,0.078,0.008
cg13758913,18,24283684,LOC728606,TSS200,0.140,0.143,0.003
cg13761421,9,78652814,PCSK5,Body,0.105,0.128,0.007
cg13771161,9,99146400,SLC35D2,TSS1500,0.087,0.072,0.005
cg13775751,6,2377700,,,0.086,0.086,0.005
cg13777984,13,43931730,ENOX1;ENOX1,Body;Body,0.087,0.079,0.003
cg13780718,20,44513768,ZSWIM1,3'UTR,0.127,0.128,0.007
cg13784017,1,68166689,,,0.093,0.077,0.003
cg13784312,9,134609065,RAPGEF1,Body,0.135,0.121,0.006
cg13805951,14,105948819,,,0.090,0.066,0.007
cg13813086,9,128650501,PBX3;PBX3;PBX3;PBX3,Body;Body;Body;Body,0.092,0.100,0.002
cg13818243,13,114789734,RASA3,Body,0.086,0.077,0.006
cg13821008,2,175499113,WIPF1;WIPF1,5'UTR;5'UTR,0.100,0.080,0.005
cg13821176,8,126448338,TRIB1,Body,0.091,0.088,0.005
cg13823234,9,93800582,,,0.107,0.102,0.004
cg13824500,10,114394236,VTI1A,Body,0.091,0.075,0.007
cg13827677,9,131450747,SET;SET,TSS1500;Body,0.095,0.091,0.004
cg13829680,9,136746975,VAV2;VAV2,Body;Body,0.104,0.100,0.004
cg13832604,6,7142024,RREB1;RREB1;RREB1;RREB1,5'UTR;5'UTR;5'UTR;5'UTR,0.103,0.102,0.006
cg13836518,9,100883593,CORO2A;CORO2A,3'UTR;3'UTR,0.090,0.079,0.006
cg13856340,9,127888818,SCAI;SCAI,Body;Body,0.088,0.078,0.003
cg13860281,7,55638724,VOPP1,Body,0.129,0.130,0.005
cg13866253,11,77093001,PAK1;PAK1,Body;Body,0.094,0.092,0.005
cg13871826,1,86045347,CYR61;DDAH1,TSS1500;TSS1500,0.086,0.079,0.005
cg13889620,12,122092201,MORN3,Body,0.109,0.119,0.004
cg13892570,1,159893182,TAGLN2,5'UTR,0.105,0.088,0.004
cg13893555,9,37574338,FBXO10,5'UTR,0.095,0.096,0.004
cg13905238,3,197155273,,,0.141,0.125,0.007
cg13912641,11,58877370,FAM111B;FAM111B;FAM111B,5'UTR;5'UTR;Body,0.086,0.021,0.022
cg13917151,1,27730185,,,0.089,0.066,0.007
cg13925432,9,110398260,,,0.112,0.101,0.004
cg13926096,8,131309404,ASAP1IT1;ASAP1,TSS1500;Body,0.092,0.093,0.005
cg13928490,13,51640442,GUCY1B2,TSS200,0.091,0.090,0.006
cg13931640,9,137277819,RXRA,Body,0.126,0.118,0.006
cg13941027,1,12335550,VPS13D;VPS13D,Body;Body,0.087,0.059,0.007
cg13941235,9,137270186,RXRA,Body,0.097,0.092,0.002
cg13942186,9,140305942,EXD3,5'UTR,0.094,0.082,0.005
cg13958199,9,127018815,NEK6;NEK6;NEK6,TSS1500;TSS1500;TSS1500,0.109,0.098,0.003
cg13959014,9,89482812,,,0.110,0.123,0.006
cg13959110,15,48466199,MYEF2,Body,0.106,0.085,0.008
cg13961673,15,62910058,,,0.094,0.084,0.005
cg13966771,19,3501167,DOHH;DOHH,TSS1500;TSS1500,0.114,0.114,0.003
cg13976251,8,64325777,,,0.091,0.006,0.018
cg13976502,14,74227875,C14orf43;C14orf43,5'UTR;TSS1500,0.107,0.086,0.006
cg13981457,10,30887231,,,0.093,0.078,0.006
cg13987674,1,24649494,GRHL3;GRHL3;GRHL3,TSS200;Body;TSS200,0.135,0.134,0.005
cg13999433,9,117156883,AKNA,TSS200,0.089,0.081,0.004
cg14003853,15,86250370,AKAP13;AKAP13;AKAP13,Body;Body;Body,0.090,0.081,0.004
cg14010405,1,89357911,GTF2B,TSS1500,0.087,0.089,0.005
cg14014950,3,64125334,PRICKLE2,Body,0.090,0.088,0.004
cg14016236,3,171792545,FNDC3B;FNDC3B,5'UTR;5'UTR,0.117,0.119,0.006
cg14018024,9,133908909,LAMC3,Body,0.088,0.065,0.008
cg14027288,1,180923683,,,0.153,0.153,0.005
cg14040358,19,4369393,SH3GL1,Body,0.100,0.087,0.005
cg14041338,13,43890809,ENOX1;ENOX1,Body;Body,0.107,0.111,0.007
cg14042635,17,40440916,STAT5A,5'UTR,0.086,0.068,0.006
cg14043316,22,50743420,PLXNB2,5'UTR,0.088,0.085,0.005
cg14044785,2,43560368,THADA;THADA,Body;Body,0.087,0.077,0.005
cg14056993,3,65342883,MAGI1;MAGI1,Body;Body,0.106,0.108,0.008
cg14062007,9,36138980,GLIPR2,Body,0.090,0.072,0.011
cg14069412,5,134209415,TXNDC15,TSS200,0.088,0.084,0.003
cg14084907,1,3634811,TP73;TP73;TP73;TP73,Body;Body;Body;Body,0.088,0.062,0.007
cg14102576,14,93453170,ITPK1;ITPK1;ITPK1,Body;Body;Body,0.095,0.073,0.004
cg14106719,9,80524371,GNAQ,Body,0.094,0.091,0.004
cg14112569,3,124604450,ITGB5,Body,0.091,0.077,0.006
cg14121185,17,64488849,PRKCA,Body,0.087,0.087,0.004
cg14121234,10,696332,DIP2C;C10orf108;C10orf108,Body;Body;Body,0.086,0.072,0.009
cg14134128,17,76774832,CYTH1;CYTH1,Body;Body,0.121,0.118,0.006
cg14143723,3,27638612,,,0.091,0.098,0.004
cg14149552,9,80642464,GNAQ,Body,0.092,0.085,0.002
cg14153649,3,73768146,,,0.122,0.117,0.004
cg14173033,17,80545310,FOXK2,Body,0.119,0.091,0.014
cg14174912,10,3824516,KLF6;KLF6;KLF6;KLF6,Body;Body;Body;Body,0.089,0.057,0.009
cg14178899,1,8076599,ERRFI1,5'UTR,0.100,0.090,0.005
cg14181409,17,9802860,RCVRN,Body,0.088,0.068,0.008
cg14189116,12,30878975,CAPRIN2;CAPRIN2;CAPRIN2,Body;Body;Body,0.118,0.112,0.005
cg14189391,2,25527347,DNMT3A;DNMT3A;DNMT3A,Body;Body;Body,0.173,0.137,0.020
cg14191024,11,110070509,,,0.093,0.076,0.005
cg14192935,9,2571396,FLJ35024,Body,0.088,0.070,0.004
cg14198768,9,89109504,,,0.099,0.100,0.004
cg14200211,12,32313007,BICD1;BICD1,Body;Body,0.094,0.091,0.005
cg14203827,18,74606279,ZNF236,Body,0.097,0.064,0.007
cg14209344,4,87886892,AFF1,Body,0.086,0.071,0.006
cg14211055,21,47704251,MCM3AP,1stExon,0.096,0.071,0.008
cg14211915,9,94187714,,,0.097,0.076,0.011
cg14213590,9,139237503,GPSM1,Body,0.100,0.085,0.007
cg14215338,9,132381976,C9orf50,Body,0.088,0.060,0.008
cg14227773,9,2419272,,,0.122,0.115,0.006
cg14229433,4,722207,PCGF3,5'UTR,0.086,0.052,0.012
cg14237903,17,60729448,MRC2,Body,0.100,0.089,0.006
cg14242526,7,107948864,NRCAM;NRCAM,5'UTR;5'UTR,0.119,0.116,0.004
cg14247008,2,242786046,,,0.114,0.109,0.005
cg14247287,2,97171218,NEURL3,Body,0.098,0.097,0.004
cg14247325,13,36501687,MIR548F5;DCLK1,Body;Body,0.097,0.097,0.005
cg14249174,4,153814351,ARFIP1;ARFIP1;ARFIP1,Body;Body;Body,0.088,0.075,0.005
cg14257907,1,165853483,UCK2,Body,0.091,0.089,0.004
cg14259208,9,101759749,COL15A1,Body,0.102,0.089,0.005
cg14260083,7,4876858,RADIL,Body,0.096,0.071,0.010
cg14261271,2,153268704,FMNL2,Body,0.089,0.097,0.006
cg14262681,20,21084420,,,0.121,0.132,0.010
cg14264316,9,134280803,,,0.089,0.068,0.004
cg14270346,9,38026076,SHB,Body,0.099,0.097,0.004
cg14279856,6,30851086,DDR1;DDR1,TSS1500;TSS1500,0.149,0.176,0.009
cg14286456,1,8570225,RERE;RERE,Body;Body,0.117,0.099,0.003
cg14286514,9,32525315,DDX58,Body,0.086,0.085,0.007
cg14290576,9,94181612,NFIL3,5'UTR,0.119,0.126,0.003
cg14291878,15,101738616,CHSY1,Body,0.098,0.085,0.005
cg14301030,10,264920,ZMYND11;ZMYND11;ZMYND11,Body;Body;Body,0.100,0.098,0.005
cg14310198,9,134536436,RAPGEF1;RAPGEF1,Body;Body,0.090,0.062,0.006
cg14311630,11,57363669,SERPING1,TSS1500,0.101,0.097,0.007
cg14321269,17,6658198,XAF1;XAF1,TSS1500;TSS1500,0.087,0.091,0.003
cg14327393,9,75141633,TMC1,5'UTR,0.148,0.145,0.003
cg14339991,3,11428504,ATG7;ATG7;ATG7,Body;Body;Body,0.100,0.084,0.003
cg14362004,7,8229083,ICA1;ICA1;ICA1,Body;Body;Body,0.088,0.089,0.004
cg14372486,4,129734882,PHF17;PHF17,5'UTR;5'UTR,0.118,0.111,0.006
cg14378727,11,72369758,PDE2A;PDE2A,Body;Body,0.122,0.079,0.018
cg14381255,13,113437214,ATP11A;ATP11A,Body;Body,0.092,0.083,0.004
cg14386624,9,91006749,SPIN1,5'UTR,0.092,0.085,0.007
cg14392804,13,95358151,,,0.094,0.084,0.003
cg14397171,15,101728653,CHSY1,Body,0.092,0.087,0.003
cg14397231,4,124940041,,,0.091,0.089,0.003
cg14397690,15,60688948,ANXA2;ANXA2;ANXA2;ANXA2,5'UTR;5'UTR;Body;5'UTR,0.102,0.113,0.003
cg14397799,7,127732246,SND1,3'UTR,0.090,0.072,0.006
cg14399183,9,124048308,GSN;GSN;GSN;GSN;GSN;GSN;GSN,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,0.099,0.094,0.004
cg14401309,18,31740096,NOL4,Body,0.101,0.096,0.004
cg14409029,11,19138243,ZDHHC13;ZDHHC13,TSS1500;TSS1500,0.112,0.071,0.014
cg14414154,21,27538021,APP;APP;APP;APP;APP,Body;Body;Body;Body;Body,0.089,0.084,0.003
cg14414943,1,111770718,CHI3L2;CHI3L2,Body;Body,0.138,0.143,0.006
cg14417896,15,70087153,,,0.093,0.103,0.004
cg14426428,6,106961936,AIM1,Body,0.103,0.088,0.007
cg14426785,9,101876671,TGFBR1;TGFBR1,Body;Body,0.092,0.063,0.004
cg14428628,17,77806922,,,0.106,0.103,0.007
cg14431547,9,36572421,MELK,TSS1500,0.097,0.098,0.004
cg14431587,9,133484895,FUBP3,Body,0.091,0.097,0.003
cg14439102,9,80360719,GNAQ,Body,0.112,0.102,0.004
cg14454798,5,173314559,CPEB4,TSS1500,0.089,0.038,0.016
cg14468508,9,134304802,BAT2L1,TSS1500,0.094,0.096,0.007
cg14473904,15,93465087,CHD2;CHD2,Body;Body,0.119,0.113,0.005
cg14474520,12,124781038,FAM101A,5'UTR,0.092,0.079,0.005
cg14478589,9,124086862,GSN;GSN;GSN;GSN;GSN;GSN;GSN;GSN,Body;Body;Body;Body;Body;Body;Body;Body,0.102,0.092,0.003
cg14480262,14,73703844,PAPLN,TSS1500,0.099,0.064,0.011
cg14491535,7,28195090,JAZF1,Body,0.098,0.095,0.004
cg14497203,22,23487048,RAB36,TSS1500,0.109,0.099,0.011
cg14497255,3,143127934,SLC9A9,Body,0.092,0.079,0.006
cg14499387,22,31668786,LIMK2;LIMK2;LIMK2,Body;Body;Body,0.088,0.076,0.005
cg14517144,10,70098420,HNRNPH3;HNRNPH3,Body;Body,0.096,0.083,0.003
cg14523804,17,75995968,,,0.096,0.080,0.004
cg14537031,8,100888033,VPS13B;VPS13B,3'UTR;3'UTR,0.113,0.104,0.005
cg14543255,17,8905775,,,0.086,0.089,0.004
cg14546955,11,105959819,AASDHPPT,Body,0.098,0.091,0.004
cg14552508,2,8628173,,,0.087,0.079,0.003
cg14555350,5,142580618,ARHGAP26;ARHGAP26,Body;Body,0.090,0.083,0.003
cg14559212,2,9983052,TAF1B,TSS1500,0.093,0.063,0.012
cg14560703,9,134585592,RAPGEF1;RAPGEF1,TSS1500;Body,0.100,0.093,0.007
cg14567963,13,112815866,,,0.107,0.084,0.011
cg14571493,4,110834401,EGF;EGF,1stExon;5'UTR,0.088,0.096,0.004
cg14573356,13,99174341,STK24;STK24,Body;TSS200,0.089,0.090,0.004
cg14579118,7,43797547,BLVRA,TSS1500,0.098,0.090,0.003
cg14582550,9,97786879,C9orf3,Body,0.101,0.073,0.016
cg14583973,4,3374767,RGS12;RGS12;RGS12,Body;Body;Body,0.089,0.058,0.008
cg14588406,9,132900904,GPR107;GPR107;GPR107,3'UTR;3'UTR;3'UTR,0.099,0.099,0.002
cg14592673,17,48768755,ABCC3,3'UTR,0.096,0.088,0.006
cg14594044,4,6914621,TBC1D14;TBC1D14,5'UTR;5'UTR,0.098,0.088,0.003
cg14599440,18,11909634,MPPE1,TSS1500,0.095,0.094,0.005
cg14615927,2,240259213,HDAC4,Body,0.092,0.057,0.010
cg14618583,6,170682037,FAM120B,Body,0.101,0.101,0.009
cg14622879,6,12234001,,,0.094,0.086,0.006
cg14630106,7,139345115,HIPK2;HIPK2,Body;Body,0.133,0.114,0.008
cg14644557,10,31300871,ZNF438;ZNF438;ZNF438;ZNF438;ZNF438;ZNF438;ZNF438,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body,0.105,0.102,0.004
cg14647880,7,86946141,,,0.088,0.086,0.003
cg14665825,17,28155267,SSH2,Body,0.110,0.099,0.005
cg14675881,2,43396331,,,0.113,0.102,0.005
cg14689515,3,39190648,CSRNP1,5'UTR,0.114,0.116,0.005
cg14696311,13,114855198,RASA3,Body,0.090,0.073,0.008
cg14704124,12,132514956,SNORA49;EP400,TSS1500;Body,0.110,0.111,0.010
cg14706455,3,124776038,HEG1,TSS1500,0.096,0.084,0.003
cg14709826,2,151267707,,,0.107,0.096,0.005
cg14716686,21,30452862,C21orf7,TSS200,0.097,0.096,0.005
cg14718848,11,128420863,ETS1,Body,0.094,0.097,0.004
cg14720274,15,61014131,RORA,Body,0.092,0.091,0.004
cg14731462,10,129789429,PTPRE,5'UTR,0.105,0.089,0.006
cg14743210,8,82067269,,,0.095,0.095,0.003
cg14753458,3,48751128,IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2;IP6K2,5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR;5'UTR;Body,0.090,0.085,0.005
cg14766620,3,5018860,,,0.116,0.112,0.005
cg14780255,1,201720358,NAV1;NAV1,Body;Body,0.110,0.091,0.003
cg14780276,4,148743200,ARHGAP10,Body,0.087,0.085,0.005
cg14789645,13,98794353,FARP1;FARP1,TSS1500;TSS1500,0.097,0.088,0.005
cg14791639,6,16699028,ATXN1;ATXN1,5'UTR;5'UTR,0.122,0.122,0.004
cg14798390,5,137806023,,,0.101,0.117,0.002
cg14799819,10,63382047,,,0.088,0.092,0.003
cg14806431,4,174128053,GALNT7,Body,0.091,0.092,0.003
cg14822546,13,31380982,,,0.104,0.091,0.007
cg14823429,2,240187023,HDAC4,Body,0.150,0.133,0.007
cg14836522,1,31375133,SDC3,Body,0.109,0.105,0.004
cg14838970,11,7533817,PPFIBP2,TSS1500,0.106,0.095,0.006
cg14844341,5,139089549,,,0.118,0.115,0.008
cg14847626,12,124939526,NCOR2;NCOR2,Body;Body,0.105,0.102,0.006
cg14854315,12,109246503,SSH1;SSH1,Body;Body,0.087,0.089,0.006
cg14864578,5,112372600,MCC;MCC,Body;Body,0.115,0.117,0.003
cg14867383,6,32806911,TAP2;TAP2,TSS1500;TSS1500,0.102,0.094,0.005
cg14908875,11,43902062,ALKBH3,TSS1500,0.096,0.073,0.008
cg14909329,10,134120029,STK32C,Body,0.111,0.045,0.019
cg14910296,15,73980827,CD276;CD276,5'UTR;5'UTR,0.088,0.093,0.005
cg14925616,19,13125726,NFIX,Body,0.105,0.111,0.004
cg14933494,7,2661902,,,0.113,0.106,0.003
cg14944398,7,7218709,,,0.093,0.093,0.004
cg14967393,5,55265996,IL6ST;IL6ST,Body;Body,0.088,0.090,0.003
cg14971320,10,43699070,RASGEF1A,Body,0.087,0.066,0.006
cg14981960,1,68607289,GPR177;GPR177,Body;Body,0.095,0.077,0.009
cg14984162,13,114776704,RASA3,Body,0.102,0.070,0.014
cg14989661,3,38216354,OXSR1,Body,0.102,0.106,0.004
cg14989988,7,105319819,ATXN7L1;ATXN7L1,Body;TSS1500,0.087,0.090,0.003
cg14990266,8,26178981,PPP2R2A,Body,0.120,0.110,0.003
cg15009198,2,97429502,CNNM4,Body,0.129,0.117,0.009
cg15011899,13,111854118,ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7;ARHGEF7,Body;5'UTR;5'UTR;Body;Body,0.097,0.084,0.005
cg15019273,5,171620983,EFCAB9,TSS200,0.094,0.066,0.011
cg15022671,2,204502198,,,0.099,0.099,0.003
cg15025240,2,74811430,C2orf65,Body,0.123,0.113,0.006
cg15026574,3,186683429,ST6GAL1;ST6GAL1,5'UTR;5'UTR,0.163,0.173,0.006
cg15029037,4,146729164,ZNF827,Body,0.087,0.069,0.006
cg15033153,3,128514015,RAB7A,5'UTR,0.093,0.094,0.003
cg15034300,2,85134468,,,0.099,0.089,0.002
cg15046123,6,15421581,JARID2,Body,0.093,0.064,0.008
cg15056794,11,121987155,LOC399959;BLID,Body;TSS1500,0.091,0.085,0.003
cg15100426,2,219187432,PNKD;PNKD,TSS1500;Body,0.122,0.120,0.003
cg15101394,5,172296781,ERGIC1,Body,0.108,0.079,0.008
cg15107887,1,180469147,ACBD6,Body,0.106,0.105,0.010
cg15108641,10,99263320,UBTD1,Body,0.115,0.108,0.004
cg15114607,7,137854552,,,0.092,0.085,0.004
cg15120220,1,232065789,DISC1;DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;DISC1;DISC1,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,0.100,0.085,0.006
cg15123730,19,13215387,,,0.101,0.096,0.005
cg15126050,5,71441596,MAP1B,Body,0.122,0.110,0.007
cg15129144,2,46527958,EPAS1,Body,0.089,0.084,0.004
cg15131629,6,144935578,UTRN,Body,0.098,0.097,0.004
cg15143268,5,14405920,TRIO,Body,0.091,0.088,0.007
cg15153141,5,81470056,ATG10;ATG10,Body;Body,0.112,0.102,0.005
cg15161667,11,46940613,LRP4,TSS1500,0.091,0.081,0.005
cg15190149,19,1257347,MIDN,3'UTR,0.087,0.070,0.004
cg15196147,7,111791255,DOCK4,Body,0.102,0.089,0.005
cg15197458,19,3464765,,,0.110,0.113,0.004
cg15207885,7,72920484,BAZ1B,Body,0.087,0.051,0.008
cg15210999,6,15663538,DTNBP1;DTNBP1;DTNBP1,TSS1500;TSS1500;TSS1500,0.089,0.078,0.004
cg15228492,3,183415124,YEATS2,TSS1500,0.089,0.077,0.004
cg15233074,4,3288101,,,0.092,0.101,0.003
cg15260552,12,64338402,SRGAP1,Body,0.096,0.092,0.003
cg15262325,6,157296274,ARID1B;ARID1B;ARID1B,Body;Body;Body,0.100,0.104,0.004
cg15284457,15,100258174,,,0.087,0.079,0.006
cg15289466,4,103740913,UBE2D3;UBE2D3;UBE2D3;UBE2D3;UBE2D3;UBE2D3;UBE2D3;UBE2D3;UBE2D3,Body;Body;Body;Body;Body;Body;Body;Body;Body,0.104,0.104,0.003
cg15299233,15,75162173,SCAMP2,Body,0.087,0.081,0.004
cg15339075,6,162259067,PARK2;PARK2;PARK2,Body;Body;Body,0.106,0.095,0.005
cg15342452,10,127823065,ADAM12;ADAM12,Body;Body,0.087,0.080,0.004
cg15350780,18,9105577,NDUFV2,Body,0.089,0.088,0.004
cg15363134,18,77161214,NFATC1;NFATC1;NFATC1;NFATC1;NFATC1,Body;5'UTR;Body;Body;Body,0.136,0.118,0.010
cg15374027,17,15415649,FAM18B2,Body,0.120,0.126,0.005
cg15382568,22,25800078,,,0.112,0.106,0.008
cg15388974,14,30291201,PRKD1,Body,0.095,0.094,0.003
cg15395971,1,95010070,,,0.090,0.091,0.004
cg15401418,17,75316383,SEPT9;SEPT9;SEPT9;SEPT9,5'UTR;5'UTR;Body;1stExon,0.094,0.086,0.005
cg15402162,10,75336622,USP54,TSS1500,0.087,0.069,0.007
cg15412815,11,93271088,C11orf75,5'UTR,0.109,0.089,0.006
cg15415945,6,31627678,C6orf47,1stExon,0.183,0.000,0.119
cg15435490,3,155867120,KCNAB1;KCNAB1,Body;Body,0.094,0.075,0.008
cg15436123,4,3390332,RGS12;RGS12;RGS12,Body;Body;Body,0.120,0.096,0.007
cg15438548,10,123098791,,,0.086,0.087,0.003
cg15440402,14,56053654,KTN1;KTN1;KTN1;KTN1,5'UTR;5'UTR;5'UTR;5'UTR,0.091,0.053,0.009
cg15442800,20,56755990,,,0.111,0.110,0.005
cg15447017,1,156095882,LMNA;LMNA;LMNA,Body;Body;Body,0.095,0.078,0.004
cg15451258,15,30117681,,,0.091,0.088,0.005
cg15466952,1,65889855,LEPR;LEPR;LEPROT;LEPR,5'UTR;5'UTR;Body;5'UTR,0.100,0.095,0.005
cg15474579,6,36645812,CDKN1A;CDKN1A,TSS1500;TSS1500,0.092,0.087,0.005
cg15488009,19,681445,FSTL3,Body,0.090,0.057,0.012
cg15488596,1,185253495,C1orf26;C1orf26,Body;Body,0.131,0.122,0.003
cg15490070,1,203148132,CHI3L1,3'UTR,0.105,0.111,0.003
cg15495717,6,34231501,,,0.120,0.059,0.019
cg15511120,11,6598119,,,0.114,0.090,0.003
